NIDID,State,Latitude,Longitude,Year_Completed,Reservoir_Age,Hydraulic_Height,NID_Height,Maximum_Discharge,Maximum_Storage,Normal_Storage,NID_Storage,Surface_Area_km2,Size_Class,Drainage_Area_km2,Reservoir_Perimeter_km,Shoreline_Development_Index,Mean_Depth,Index_of_Basin_Permanence,Development_of_Volume,Maximum_Depth_in_ft_as_Hydraulic,Mean_Depth_Max_Depth_Ratio_Depth,Mean_Q,Catchment_Area_Surface_Area_Rati,Relative_Depth_as_percent_of_the,Surface_Area_Lake_Volume_Ratio,Lake_Volume_m3,AreaSqKm,Elevation,MEANV,STRAHLER,NUTCODE,PSEWER,PSEPTIC,POTHER,WATER,WETLANDS,URBGRASS,LURBAN,HURBAN,COMM,FORESTD,FORESTE,FORESTM,SHRUB,GRASS,PASTURE,CROPS,ORCHARDS,BARREN,TNLOADB,TPLOADB,TNYLDB,TPYLDB,TNCONCB,TPCONCB,TNLOADBW,TNYLDBW,TNCONCBW,TNLOAD,TPLOAD,TNYLD,TPYLD,TNCONC,TPCONC,TNPOINT,TPPOINT,TNFERT,TPFERT,TNATMOS,TNFOREST,TPFOREST,TNBARREN,TPBARREN,TNSHRUB,TPSHRUB,TNGRASS,TPGRASS,TNMAN,TPMAN,TNDFRAC,TPDFRAC,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,CLUSID,CONN_TR,X_NUTRI,ALGAE,SEDIMEN,SHOREER,NOCOVES,N_ALLOC,WS_AGRI,WS_ANIM,WS_LOGS,WS_MINE,WS_URBN,N_NUTRI,IN_TURB,OR_TURB,VAR_TUR,THERMAL,CONTAMN,POLL_PS,POLLNPS,total_impairment,WSA9,WSA9_NAME,Poll_clus
KS00001,KS,38.67833,-96,1964,51,91,96,49400,346655,48665,346655,13.18871674,Medium,637.13754,0,0,106.3682738,0,3.506646388,91,1.168882129,,48.30929733,0.791172975,0.219711961,60.0273042,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.461833,12.41499996,30.73019791,1016.768799,32.13999939,-8.260000229,40.40000153,22.19533348,-0.604000092,24.62666702,-0.604000092,922,136,24,47.96591187,353,84,323,84,TPL 1,2,2,1,4,3,3,1,1,1,0,0,0,1,3,3,1,0,1,1,1,29,TPL,Temperate Plains,2
KS07757,KS,39.45498,-95.75815,1997,18,0,64,38936,22976,8097,22976,2.1650701,Small,49.20981,13.42747213,2.57426451,42.9456958,1.344429422,,0,,,22.72897196,0.788395734,0.216778252,9.98748756,1.974,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95816612,12.33099937,30.29432106,1033.179077,32.09999847,-8.604000092,40.70399857,22.01933289,-1.246000171,24.45666695,-1.246000171,904,135,23,51.24060822,355,77,337,77,TPL 1,2,1,2,1,3,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,19,TPL,Temperate Plains,1
KS00027,KS,37.84667,-96.82167,1981,34,85,99,120800,246882,161928,246882,33.993624,Medium,606.05766,136.1393037,6.586878962,29.39064681,0.681599811,1.037316946,85,0.345772315,19.5998,17.82857143,0.136166732,0.17019367,199.7349494,29.977,,0.48,1,4,86,14,0,1.2,1.2,0.1,0.1,0,0.2,1,0,0.1,3.1,75,13.4,4.6,0,0,3018,1029,30,10,0.17,0.06,5983,60,0.33,25864,3674,259,37,1.49,0.22,2,1,37,21,41,0,0,0,0,1,2,14,62,5,13,0.27996,0.0245,13.25749969,12.60033321,31.53552246,989.5598755,32.88399887,-7.072000027,39.95599747,22.62199974,0.619333267,25.13333321,0.619333267,870,132,22,45.05883789,333,86,311,86,TPL 1,1,2,1,4,4,4,1,0,0,0,0,1,0,4,4,2,0,1,1,1,31,TPL,Temperate Plains,3
KS00002,KS,37.28167,-96.78333,1966,49,102,107,120800,850405,46122,850405,17.9680584,Medium,1642.05366,0,0,191.532218,0,5.633300528,102,1.877766843,,91.38738739,1.220539575,0.315835474,56.89056456,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84716702,12.83500004,32.37891006,972.2365112,33.34000015,-6.300000191,39.63999939,23.13800049,1.48666656,25.59399986,1.48666656,877,119,25,42.89621735,317,89,289,89,TPL 2,3,4,1,4,2,3,0,4,2,1,1,3,0,4,4,1,0,1,1,5,44,TPL,Temperate Plains,3
KS00867,KS,37.38167,-99.78,1934,81,55,75,26000,7660,7660,7660,1.14121452,Small,0,8.885945964,2.346469507,27.16305821,0.940465322,1.481621357,55,0.493873786,9.7906,0,0.686840069,0.120783165,9.4484568,1.141,,0.37,1,4,50,48,2,0.3,0.5,0,0.1,0,0.1,0.1,0,0,0.7,64.5,0.7,32.8,0,0.2,807,1033,1,1,0.04,0.06,2370,3,0.13,28726,2177,36,3,3.29,0.26,2,1,38,15,31,0,0,0,0,0,0,15,54,13,30,0.0469,0.01195,13.08549976,14.74233341,35.46899796,976.4553223,33.98799896,-7.575999737,41.56399918,22.50266647,1.014000058,25.11066628,1.014000058,600,94,12,55.641819,257,47,237,47,TPL 1,1,2,1,4,4,4,1,0,0,0,0,1,0,4,4,2,0,1,1,1,31,SPL,Southern Plains,3
KS00003,KS,37.64667,-96.07,1948,67,88,94,229000,256400,22627,256400,9.42513694,Small,1515.14415,64.15225942,5.894717727,110.0899147,2.298544244,3.753065275,88,1.251021758,335.519,160.7556891,0.968644248,0.337698071,27.90995196,9.51,,1.29,2,4,99,1,0,1.5,1.4,0.1,0.2,0.1,0.2,1.9,0,0.1,5.5,65.8,17.8,5.4,0,0,38218,15729,26,11,0.13,0.05,75332,52,0.26,233664,10227,160,7,0.79,0.04,3,2,30,14,45,1,1,0,0,2,3,13,61,6,18,0.40924,0.03751,13.57800007,12.92533302,32.21989822,982.3508301,32.9679985,-7.147999763,40.11599731,22.78933334,0.935333431,25.29066658,0.935333431,939,130,26,43.63192749,342,94,315,94,TPL 2,3,1,1,4,3,4,0,2,1,0,0,0,0,5,1,3,0,1,1,1,31,TPL,Temperate Plains,8
KS00021,KS,39.47,-98.28667,1968,47,115,142,263000,1128740,241460,1128740,54.63261,Medium,6526.7748,70.87117156,2.704820995,83.61017843,0.237953613,2.181135089,115,0.72704503,139.805,119.4666667,0.305558085,0.183431805,297.8360808,37.793,,0.69,3,5,69,30,2,0.7,0.8,0,0.1,0,0.2,1.1,0.1,0,0.4,50.4,6.9,39.1,0,0.1,20193,6256,2,0,0.06,0.02,33122,3,0.09,837613,130495,64,10,6.81,1.09,3,2,58,37,23,0,1,0,0,0,0,6,31,9,29,0.45364,0.56385,11.82816696,14.07233334,32.58087921,1057.838623,33.48799896,-9.703999519,43.19199753,22.09066582,-1.461999893,24.75533295,-1.461999893,665,99,14,55.19185257,278,50,257,50,SPL 5,1,4,4,5,5,5,2,5,5,0,0,0,1,4,3,2,1,1,4,4,56,SPL,Southern Plains,6
KS82201,KS,38.65333,-94.89833,1981,34,100,105,4750,160000,76000,160000,18.5346188,Medium,372.95856,89.12520153,5.839875478,34.93441762,0.950724795,1.048032529,100,0.349344176,44.3985,20.12227074,0.21919078,0.197714242,93.74448,17.572,,0.69,1,9,54,42,5,5,1.6,1.7,0.9,0.6,1.3,11.6,0.1,1.1,0.1,2.8,45.5,27.8,0,0,4864,1573,41,13,0.18,0.06,9556,80,0.35,85227,6816,710,57,2.16,0.18,12,17,57,30,20,2,4,0,0,0,0,0,2,9,46,0.53724,0.20472,12.65166664,11.96933365,30.27758026,1000.148987,32.02000046,-7.512000084,39.5320015,17.87199974,-0.226000026,24.64333344,-0.226000026,1009,147,32,42.92570114,365,109,334,109,TPL 3,1,1,1,1,2,1,1,1,1,0,0,3,1,1,1,1,1,1,0,1,20,TPL,Temperate Plains,1
KS00004,KS,38.24167,-95.755,1964,51,80,87,578000,626007,60661,626007,39.13718306,Medium,7808.81985,70.55324351,3.181391332,64.73017918,0.942920997,2.427381719,80,0.80912724,1536.07,199.5243512,0.279494091,0.523055636,74.82413028,33.372,,1.49,4,9,72,26,1,2.2,0.9,0.2,0.3,0.1,0.3,2,0,0,3.4,53.8,14,22.7,0,0,113615,56836,14,7,0.08,0.04,230699,29,0.17,2178384,168979,273,21,1.6,0.13,5,5,51,29,30,1,1,0,0,1,1,7,43,6,22,0.52862,0.06983,12.87133312,12.37666702,30.76629829,1008.980774,32.36000061,-7.868000031,40.22800064,22.41333389,-0.133999899,24.89400101,-0.133999899,924,146,24,49.07548904,355,82,340,82,TPL 2,0,3,1,5,5,5,0,1,1,0,0,0,0,5,2,0,1,0,1,3,33,TPL,Temperate Plains,3
KS00005,KS,38.62167,-97.97,1948,67,131,131,171000,433000,61382,433000,15.4387709,Medium,20357.3214,39.54217829,2.838893626,113.4990841,0.522260816,2.599215667,131,0.866405222,340.056,1318.584535,0.780273035,0.203910493,75.71346936,13.525,,0.82,4,5,76,23,1,0.2,0.2,0,0.1,0.1,0.2,0.2,0.1,0,0.9,57.9,3.5,36.2,0,0.4,21605,5394,1,0,0.04,0.01,33080,2,0.06,492015,31726,24,2,1.65,0.11,6,3,47,29,29,0,0,0,0,0,1,10,45,8,22,0.49596,0.60142,12.62866688,13.42066669,32.24261856,1018.692627,33.52399826,-8.100000381,41.62400055,22.4533329,-0.178000048,25.06866646,-0.178000048,685,101,12,52.95066452,281,50,264,50,SPL 3,1,3,1,3,3,2,4,1,0,0,0,0,2,2,2,2,0,1,1,2,30,SPL,Southern Plains,4
KS00022,KS,39.65,-99.11111,1954,61,111,169,96000,513020,99500,513020,43.0585904,Medium,3556.05627,21.08343634,0.906371798,48.21605472,0.171785382,1.303136614,111,0.434378871,45.1842,82.58646617,0.198482568,0.350836375,122.73126,4.205,,0.44,3,5,66,32,2,0.1,0.7,0,0,0,0.1,1,0.1,0,0.1,52.9,5.9,39,0,0.1,3217,1207,1,0,0.04,0.01,5707,2,0.07,36897,1030,10,0,0.99,0.03,2,1,58,31,23,1,1,0,0,0,0,9,43,8,24,0.05361,0.01136,11.35999966,15.31200027,34.37191391,1059.079956,33.79600143,-10.75199986,44.54800034,21.58600044,-1.868666649,24.32266617,-1.868666649,600,94,11,57.43458176,254,39,235,39,SPL 3,2,2,1,1,2,1,3,3,2,1,0,1,1,1,1,1,0,1,0,1,25,SPL,Southern Plains,1
KS01305,KS,38.262,-97.02487,1971,44,61,76,0,85000,40000,85000,10.521836,Medium,148.924425,0,0,32.69223264,0,1.60781472,61,0.53593824,,14.15384615,0.272244691,0.213255099,49.3392,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.01933289,13.06999969,31.91541481,1015.806885,33.30799866,-7.644000053,40.95199966,22.74333191,0.118666731,25.32866669,0.118666731,830,128,18,50.47126007,332,70,299,70,SPL 3,1,3,1,3,3,2,4,1,0,0,0,0,2,2,2,2,0,1,1,2,30,TPL,Temperate Plains,4
KS02465,KS,37.24302,-99.3493,1974,41,42,57,22630,6420,2490,6420,1.014628739,Small,112.3278663,0,0,25.6061952,0,1.829013943,42,0.609671314,,110.7083599,0.686676327,0.330339117,3.071476213,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.74033356,14.65733337,35.25091934,981.5220947,34.44800186,-7.131999969,41.58000183,23.24399948,1.493999958,25.76133347,1.493999958,641,95,16,50.45137405,263,58,244,58,SPL 5,5,2,1,5,4,5,3,3,2,0,0,2,3,1,1,1,0,3,1,3,45,SPL,Southern Plains,8
KS00023,KS,39.88167,-98.005,1956,59,75,93,35000,186290,41690,186290,12.14058,Medium,914.26647,46.9364555,3.800016335,62.09652411,0.912738317,2.483860964,75,0.827953655,54.6231,75.30666667,0.481402317,0.236088823,51.4237812,11.576,,0.5,2,5,64,36,1,1.5,0.2,0,0,0,0,7.1,0.4,0,0,40.9,3.7,46.2,0,0,10437,2148,10,2,0.19,0.04,16072,16,0.29,117251,7591,116,7,2.45,0.17,1,1,64,47,21,2,2,0,0,0,0,5,21,7,29,0.46531,0.29779,11.20199966,13.41333294,31.73701859,1052.796265,32.39599991,-9.868000031,42.26399994,21.48466682,-2.029999971,24.05200005,-2.029999971,707,102,13,55.88418198,286,50,272,50,SPL 5,1,5,5,5,5,5,1,5,4,0,0,0,0,5,5,1,2,3,4,4,60,SPL,Southern Plains,6
KS02983,KS,37.06333,-94.705,1957,58,36,43,0,7600,4340,7600,2.3471788,Small,6293.6757,0,0,13.10341819,0,1.091951516,36,0.363983839,,2681.37931,0.231031989,0.438454299,5.3533032,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22533321,12.59266663,33.19800186,921.2385864,32.82799911,-5.104000092,37.93199921,18.95866585,2.441333294,25.30866623,2.441333294,1114,131,42,30.77641296,361,160,302,160,SAP 3,2,4,2,5,2,4,1,3,3,1,5,3,1,2,1,2,2,4,3,4,54,SAP,Southern Appalachians,8
KS00006,KS,38.36833,-97.08333,1968,47,62,67,132000,189200,80680,189200,2.51310006,Small,517.998,59.09465393,10.51570017,304.6691879,0.593813671,14.74205748,62,4.914019159,83.9081,206.1191626,5.191397071,0.02525293,99.5171664,25.612,,0.64,2,4,50,47,2,5.4,0.4,0.1,0.1,0,0.2,1,0,0,2.6,34.3,17.1,38.7,0,0,13974,3626,27,7,0.21,0.05,23651,46,0.36,108965,2363,210,5,1.5,0.04,3,3,67,51,20,0,0,0,0,0,1,3,18,7,27,0.19599,0,12.89666653,12.90266609,31.46684837,1019.693542,33.19599915,-7.808000088,41.0039978,22.67133331,-0.045333307,25.24399948,-0.045333307,827,129,17,50.8738327,332,68,302,68,TPL 2,2,5,5,2,3,3,1,5,5,0,0,2,0,3,3,2,1,1,1,5,49,TPL,Temperate Plains,3
KS00007,KS,38.515,-95.705,1972,43,123,123,35500,363000,154000,363000,28.0447398,Medium,903.90651,107.2483602,5.712942387,52.38083213,0.56459604,1.277581271,123,0.425860424,143.962,32.23088023,0.267182057,0.147638146,189.95592,25.453,,0.85,2,9,55,44,1,0.9,0.9,0.1,0.1,0,0.1,2.6,0,0,3.5,58.5,14,19.3,0,0,14936,5961,24,9,0.14,0.05,30986,49,0.28,218268,29626,345,47,1.71,0.24,1,1,49,24,34,1,1,0,0,1,2,9,50,6,22,0.44708,0.12069,12.71583366,12.33433342,30.65496826,1013.22998,32.2480011,-7.987999916,40.23600006,22.34600067,-0.35800001,24.81599998,-0.35800001,937,141,24,48.00959778,355,84,328,84,TPL 1,0,1,2,2,3,3,1,1,1,0,0,0,1,1,1,1,0,0,3,3,24,TPL,Temperate Plains,5
KS00049,KS,37.26833,-95.47,1981,34,78,83,36200,39540,26969,39540,4.82385712,Small,95.82963,36.53340046,4.692321608,33.17106479,1.098229593,1.275810184,78,0.425270061,50.1281,19.86577181,0.407964899,0.145009842,33.26572212,4.473,,0.72,1,9,69,31,0,3.3,3.4,0,0.1,0,0.2,10.5,0.6,1.2,1.2,14.9,46.1,18.5,0,0.1,6486,2653,28,12,0.13,0.05,13095,57,0.27,103934,3549,456,16,2.35,0.09,2,3,60,35,23,2,4,0,0,0,1,1,10,10,48,0.40782,0.04286,14.05466652,12.63000011,32.41786575,954.413147,33.11999893,-5.840000153,38.95999908,18.89866638,1.852666616,25.55733299,1.852666616,1041,135,36,37.00434875,358,124,303,124,TPL 3,1,1,1,2,3,1,1,1,1,1,1,2,0,1,1,1,0,1,0,2,22,TPL,Temperate Plains,2
KS00008,KS,39.08333,-96.895,1967,48,147,147,560000,1145000,388800,1145000,63.56807688,Medium,64444.13118,158.5374227,5.609280376,72.89262614,0.330577602,1.487604615,147,0.495868205,157.76,1013.781513,0.24695889,0.132550297,479.577024,59.114,,1.18,1,4,90,10,0,2,0.6,0,0,0,0.4,4.9,0.1,0.1,1.8,48.9,18.4,22.7,0,0,1712,561,23,8,0.19,0.06,3841,53,0.43,24715,2944,339,40,0.18,0.02,13,12,42,26,30,1,2,0,0,0,1,7,38,6,21,0.66666,0.38577,12.44250011,12.86566639,31.07348824,1035.986084,32.91199875,-8.491999626,41.40399933,22.42199898,-0.738666594,24.97399902,-0.738666594,844,132,18,52.20846939,345,66,316,66,TPL 2,1,5,5,2,2,1,1,5,3,0,1,2,0,2,1,1,1,5,3,5,46,TPL,Temperate Plains,5
KS05503,KS,39.70486,-96.16245,1990,25,0,49,7377,11187,4769,11187,1.636550184,Small,32.4266748,13.93324143,3.07243278,27.66388308,2.368804154,,0,,,19.8140455,0.584129419,0.278231515,5.881972728,1.548,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.63049984,12.52633286,30.51036072,1044.515869,31.79999924,-9.255999565,41.05599976,21.86400032,-1.757333398,24.18133354,-1.757333398,877,133,20,52.6841774,348,69,334,69,TPL 1,1,5,5,3,4,1,1,4,4,0,0,0,0,3,1,2,0,1,3,4,42,TPL,Temperate Plains,3
KS07439,KS,37.47886,-95.12837,,,0,27,0,2200,1300,2200,1.8615556,Small,0.5956977,19.89272328,4.112928185,4.782597716,12.40562865,,0,,2580.95,0.32,0.094686148,1.160915334,1.603524,2.368,,1.83,4,9,77,22,1,1.9,1.6,0.2,0.3,0.2,0.3,3.3,0.1,0.1,2.7,42.3,21.1,26.1,0,0.1,203220,93815,16,8,0.09,0.04,411542,33,0.18,4538214,449299,367,36,1.99,0.21,4,4,58,33,25,1,2,0,0,0,1,4,25,7,36,0.64179,0.13402,13.85716629,12.28366661,31.87582207,952.9084473,32.79999924,-5.736000061,38.5359993,18.80533409,1.664000034,25.33533287,1.664000034,1041,132,36,38.08607483,357,121,313,121,TPL 1,2,3,2,4,4,4,2,3,3,1,1,1,1,3,3,2,2,2,2,3,48,TPL,Temperate Plains,4
KS07526,KS,37.20276,-97.52773,1996,19,0,39,8205,15986,5907,15986,2.7316305,Small,46.101822,15.25066078,2.602990456,23.68290859,2.093098075,,0,,,16.87703704,0.38706568,0.374906414,7.28616636,2.125,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19149971,12.89299965,31.91020775,999.1466675,34.52399826,-5.880000114,40.40399933,23.76866531,1.6353333,26.39066696,1.6353333,797,107,23,43.23849487,296,81,272,81,SPL 5,1,4,4,5,5,5,0,5,3,0,0,1,0,5,4,5,0,3,0,0,50,SPL,Southern Plains,3
KS00024,KS,39.79333,-99.93166,1963,52,95,131,94600,193023,35935,193023,21.51310776,Medium,1844.07288,19.26943812,1.171958858,36.30973606,0.434729678,1.146623244,95,0.382207748,34.2044,85.7185854,0.211461894,0.485348164,44.3251038,1.972,,0.38,2,5,72,27,0,0.1,0,0,0.3,0,0.3,0.4,0.1,0,0,38.8,6,53.7,0,0.1,3758,1104,2,1,0.09,0.03,6631,4,0.16,56245,1853,32,1,1.9,0.07,1,1,66,37,19,0,0,0,0,0,0,6,33,8,29,0.01851,0,10.99716663,15.40299988,35.48097229,1030.954468,33.15200043,-10.26000023,43.41200256,21.07333374,-1.694666862,23.76733398,-1.694666862,567,95,13,59.25711823,256,42,230,42,SPL 3,2,2,1,2,2,1,2,2,2,0,0,1,1,1,1,1,0,1,0,1,23,SPL,Southern Plains,2
KS07835,KS,37.62189,-94.73235,1997,18,0,52,23327,16828,8922,16828,2.11650778,Small,32.374875,13.42747213,2.603629694,32.17583436,1.220112646,,0,,,15.29636711,0.597421002,0.192320482,11.00510856,2.086,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61999989,12.20733261,31.68431664,953.9650879,32.53199768,-5.995999813,38.52799606,18.51666641,1.394000053,25.09799957,1.394000053,1110,142,39,35.14057541,376,139,333,139,TPL 3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,23,TPL,Temperate Plains,1
KS00009,KS,39.11167,-95.425,1969,46,121,121,65000,770000,243000,770000,49.371692,Medium,2893.01883,130.252393,5.229276388,63.11460921,0.434557576,1.564825022,121,0.521608341,50.0095,58.59672131,0.242633909,0.164717456,299.73564,43.58,,0.72,1,9,83,14,3,1.2,2.2,0.2,0,0,0.4,9.3,0,0.8,0.1,11.2,43.9,30.6,0,0.1,2831,853,38,12,0.19,0.06,5677,77,0.38,54109,4692,731,63,1.22,0.11,5,6,66,34,18,1,3,0,0,0,0,1,7,10,50,0.60309,0.22783,12.55766678,11.96866703,29.99966621,1014.687134,32.06800079,-7.828000069,39.89599991,22.37866592,-0.490666717,24.71466637,-0.490666717,949,136,26,47.3682251,365,91,332,91,TPL 1,3,1,1,3,3,3,1,2,1,0,0,1,1,2,2,3,1,1,1,1,31,TPL,Temperate Plains,2
KS00010,KS,38.65167,-95.55667,1963,52,111,111,50300,254600,70600,254600,16.18744,Medium,833.97678,65.88859707,4.619724382,63.64985388,0.756612387,1.720266321,111,0.573422107,92.6938,51.52,0.427335457,0.185883721,87.083688,15.302,,0.94,1,9,73,25,2,0.7,0.8,0.2,0.3,0.1,0.3,4.3,0,0.6,0.9,42.1,18.8,31,0,0,14496,6944,25,12,0.14,0.07,30129,51,0.29,216108,30564,368,52,2.64,0.39,5,4,53,31,29,1,2,0,0,0,0,5,35,6,27,0.36222,0.04658,12.66533279,12.04866695,30.11263275,1012.742981,32.11199951,-7.900000095,40.01200104,22.34799957,-0.379999965,24.78066635,-0.379999965,936,137,25,46.96123505,350,86,321,86,TPL 2,2,1,2,4,4,4,1,2,3,0,0,2,3,4,3,3,1,1,2,2,44,TPL,Temperate Plains,8
KS02453,KS,37.34988,-96.89304,1970,45,78,91,44790,65300,19800,65300,4.5729518,Small,166.277358,20.19108249,2.66352135,57.78747796,0.826727341,2.222595306,78,0.740865102,20.2107,36.36106195,0.729954906,0.187240297,24.422904,3.962,,0.49,1,4,94,5,0,3.7,1.3,0.1,0,0,0,0.9,0,0.2,3.1,66.1,13.1,11.5,0,0,3331,1377,21,9,0.13,0.05,6632,43,0.26,27209,674,174,4,1.53,0.04,1,2,49,29,33,0,0,0,0,1,2,11,53,5,15,0.25322,0.01896,13.93583298,12.77033329,32.20927811,975.7391357,33.53199768,-6.115999699,39.64799881,23.27666664,1.561333418,25.74266624,1.561333418,869,119,25,42.68936539,318,88,292,88,TPL 1,1,3,1,4,4,3,1,1,1,0,0,1,1,2,2,1,0,1,1,2,30,TPL,Temperate Plains,4
KS00011,KS,37.73833,-95.93333,1960,55,84,90,253000,318900,21000,318900,10.7646476,Medium,1890.6927,40.32301414,3.466953132,119.8869428,1.556688013,4.281676529,84,1.42722551,492.918,175.6390977,0.987035062,0.41557404,25.90308,9.298,,1.21,3,9,91,9,0,1.5,1.4,0,0.1,0.1,0.1,2.7,0,0,3.1,62.7,19.1,9.1,0,0,46633,19489,25,10,0.12,0.05,92845,49,0.24,391646,21369,207,11,0.9,0.05,2,1,35,15,44,1,1,0,0,1,2,12,59,6,21,0.45388,0.05115,13.55999947,12.85000038,32.08969879,984.3008423,32.9280014,-7.115999699,40.04400253,22.76399994,0.876666725,25.28333282,0.876666725,953,132,26,43.74869156,346,94,324,94,SPL 5,2,1,1,4,4,4,0,2,1,0,0,0,2,4,1,3,0,1,1,1,32,SPL,Southern Plains,2
KS00012,KS,39.25667,-96.59,1962,53,157,157,612000,2257000,335100,2257000,54.025581,Medium,24936.42372,109.4449612,4.200402802,169.0632823,0.264782471,3.230508579,157,1.076836193,1951.46,461.5670412,0.621312622,0.130705212,413.339148,48.503,,1.64,4,4,80,19,1,0.9,0.7,0.1,0.3,0,0.4,2.3,0.1,0,0.2,17.6,10.7,66.6,0,0,178161,45351,7,2,0.09,0.02,299365,12,0.15,10478001,1651804,431,68,6.07,0.99,2,3,76,41,12,0,1,0,0,0,0,1,9,8,46,0.59173,0.20248,12.30616665,12.72299957,30.93212128,1031.124268,32.48799896,-8.644000053,41.13199997,22.2033329,-0.859333336,24.72533417,-0.859333336,871,135,20,53.09595108,362,68,325,68,TPL 2,2,2,1,4,3,2,0,2,1,0,0,0,0,5,3,4,1,1,2,2,35,TPL,Temperate Plains,8
KS00025,KS,39.39167,-99.41167,1955,60,96,154,138000,401650,77371,401650,34.3173728,Medium,2978.4885,12.64105589,0.608725123,47.36427806,0.132456425,1.480133689,96,0.493377896,45.8079,86.79245283,0.218400943,0.359586775,95.43558108,3.838,,0.45,2,5,74,25,1,0.5,1,0,0.1,0,0.2,0.1,0,0,0.3,61.6,5,30.9,0,0.2,6093,1767,2,1,0.09,0.03,10909,4,0.16,45854,1392,15,0,1.19,0.04,3,2,50,25,27,0,0,0,0,0,0,13,54,7,19,0.05284,0.01227,11.69966698,15.29933357,34.84089279,1037.214355,33.90000153,-10.01200008,43.91200256,21.76399994,-1.190000057,24.45466805,-1.190000057,577,93,10,58.41493225,250,39,230,39,SPL 3,2,1,1,2,2,3,3,4,3,0,0,0,1,1,1,1,0,0,0,1,26,SPL,Southern Plains,1
KS00013,KS,38.96833,-98.495,1964,51,130,160,15700,736000,245000,736000,36.5836144,Medium,4965.01083,96.61189571,4.505906645,81.4157423,0.31969247,1.878824822,130,0.626274941,161.006,135.7168142,0.363601515,0.121056584,302.2026,31.753,,0.73,3,5,83,16,1,0.3,0.5,0,0,0,0.1,0.2,0,0,0.7,61.9,5,30.6,0,0.5,9329,2889,2,1,0.08,0.02,16110,3,0.14,277180,59349,57,12,1.95,0.42,3,2,39,20,34,0,0,1,0,0,1,16,62,6,16,0.17679,0.05427,12.60816669,14.2670002,33.33099747,1034.712402,34.19200134,-8.612000465,42.80400085,22.66400146,-0.35466662,25.30400085,-0.35466662,671,102,15,52.68445206,275,54,253,54,SPL 1,1,1,0,1,1,1,4,0,0,0,0,1,4,1,1,1,0,0,1,1,19,SPL,Southern Plains,1
KS02555,KS,39.16857,-94.77502,1941,74,118,139,11000,14700,10000,14700,1.5175725,Small,20.71992,13.78036436,3.155592155,39.19991001,1.117193984,0.996607882,118,0.332202627,,13.65333333,0.859549613,0.123031788,12.3348,1.369,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.55566692,11.90799999,30.13157845,1006.470764,31.94799995,-7.572000027,39.52000046,22.40133286,-0.422666669,24.5933342,-0.422666669,992,134,29,43.59857559,365,102,324,102,TPL 3,0,1,1,1,1,1,1,1,0,0,0,4,3,1,1,1,0,2,0,3,22,TPL,Temperate Plains,1
